# cadence stock nestlé 9 2020
# Code,Num,Produit,Vente,BdL,Total,Achat,Stock
12262016,5560,Lait Nestle Familial LCS,31,6,37,0,198
12393664 ,5671,Lait Nestle Concentre LCS,143,24,167,0,399
110727,1216,Lait Sunshine,47,4,51,0,470
110728,1217,Lait Sunshine,37,11,48,0,385
110730,1218,Lait Sunshine,34,3,37,0,254
110729,1219,Lait Sunshine,25,3,28,0,159
12166001,3814,Sunshine Recharge 800GR,432,165,597,0,237
110739,3462,Sunshine Recharge 400GR,238,93,331,0,564
12393362 ,5695,Carnation,300,45,345,0,737
12354460,1305,Nescafe Nes,116,45,161,0,1197
102073,5048,CHR Nescafe Blend DECA Stick,1,0,1,0,365
12354248,1306,Nescafe Nes,72,58,130,0,612
102344,5049,CHR Nescafe Blend,17,0,17,0,136
100958,1311,Nescafe 50GR,96,18,114,0,1687
12470453,5990,Lot2pNescafeRech185g+Bol,0,0,0,0,0
